tract1,mi_to_tract,tract2
700,0.540699933991636,5000
700,0.559075613883832,9200
700,0.562470170835743,4900
700,0.597387746588193,1500
700,0.664504934275909,5100
700,0.771085812489878,4800
700,0.80581575169701,9301
700,0.839047834473511,3900
700,0.868425331931366,8000
700,0.969914193846948,7900
700,1.03112279555517,5500
700,1.04513453446626,4702
700,1.10091283596903,200
700,1.12163215054137,5300
700,1.13328105088019,4602
700,1.20182200074328,9400
700,1.24371490363934,2300
700,1.38130186042012,8400
700,1.42087235770214,5600
700,1.42284988605669,8100
700,1.50521488163949,4100
700,1.53072228123786,9302
700,1.65343864177287,9604
700,1.66146200457321,2200
700,1.67127208174661,8200
700,1.68636212887328,2400
700,1.69874808044843,9500
700,1.74362401163833,5700
700,1.78487110556694,2000
700,1.80152101902979,1000
700,1.80623047014892,9601
700,1.81999489649373,2100
700,1.84968623893682,4000
700,1.86493352084016,2900
700,1.87935538328477,3200
700,1.93695126813777,2700
700,1.96849521721901,5900
700,1.97704765071995,9603
700,2.00852908254888,9602
700,2.04318733724049,5400
700,2.07486942932797,10400
700,2.11350436735877,3000
700,2.12215316469119,1900
700,2.14238772898501,5800
700,2.16457988572062,8301
700,2.19779544783433,6500
700,2.22396181148698,10901
700,2.28710910660397,10602
700,2.29140167203644,3300
700,2.2977583376478,3100
700,2.35540067161611,3400
700,2.36971268354665,6400
700,2.56722162284293,7500
700,2.61465428493,6300
700,2.62471234940037,6000
700,2.63119325402943,3600
700,2.6506475122014,4701
700,2.71823791057365,6600
700,2.73397000383693,1800
700,2.73638327456533,3700
700,2.74902309693505,8701
700,2.77415101826594,3500
700,2.79847019169253,8800
700,2.80912368386507,7801
700,2.93642565376649,10601
700,2.94653024797041,6700
700,2.94786134265371,7600
700,3.01600986770642,10300
700,3.07081872442386,6900
700,3.10974467294856,8702
700,3.15462582142012,6200
700,3.20504488712796,7700
700,3.25474069129709,12800
700,3.29225581052408,7802
700,3.29681553572198,11100
700,3.29975001287861,10902
700,3.36282158818093,13902
700,3.36970589819413,10500
700,3.43158512452493,6100
700,3.43784300544419,7000
700,3.55821329405557,8600
700,3.57485606093073,7100
700,3.66032897986181,6800
700,3.78737581576764,3805
700,3.82766220712535,11000
700,3.86669947121351,12900
700,3.88623326922238,12700
700,4.01325649893281,13901
700,4.1014089013738,13800
700,4.11195029574958,10800
700,4.14354847787941,14004
700,4.15545670705444,14301
700,4.15842856362588,14102
700,4.2664252661268,10200
700,4.40590947774676,12500
700,4.58731397984036,980100
700,4.62031523781309,12600
700,4.70145489383595,14400
700,4.87469485368461,10700
700,4.92181965503848,14003
700,4.92236711296509,13001
700,5.02872356354997,14302
700,5.11937749913653,13701
700,5.17588688328362,10100
700,5.24650129282946,13601
700,5.26698695738084,13002
700,5.29794430027391,14001
700,5.34773835303022,11503
700,5.41307519124164,11201
700,5.46217037549545,13702
700,5.46561048103953,14203
700,5.57010019579352,8500
700,5.77808292326606,13505
700,5.81913072450146,14103
700,5.84826409576868,11604
700,5.92740615456009,12201
700,5.97458964502988,14104
700,5.9989061058777,14204
700,6.10291790064001,13604
700,6.20424750082081,11603
700,6.21312126548172,11207
700,6.31191469547825,13101
700,6.3750089434805,14504
700,6.4765587174044,13401
700,6.49275130263073,13104
700,6.7258197191931,14202
700,6.9275402515331,11605
700,6.95694068062887,13603
700,6.95743745529662,11203
700,7.07722550335167,12301
700,7.13494979414919,13506
700,7.18240317916443,11205
700,7.27817120804041,13103
700,7.33360205365867,12100
700,7.36385772234218,13507
700,7.37734798377446,14503
700,7.61808319837952,12000
700,7.74587154545882,11504
700,7.96279539042734,11501
700,7.96395046421549,11208
700,8.02948817810876,12202
700,8.05803499445983,13203
700,8.27961169000746,11601
700,8.62137380220603,13508
700,8.6402553438455,14501
700,8.68740557570174,11901
700,8.89358210875849,12306
700,8.92579234712134,14905
700,9.02638275280933,11302
700,9.13048127262337,13205
700,9.14298832411179,12304
700,9.17372408007408,14906
700,9.27931432820073,11902
700,9.28410096125708,13204
700,9.59483921858984,13402
700,9.64694117043865,14602
700,9.79134078171617,11800
700,9.91984370530438,12305
700,10.2055046382452,14901
700,10.2523132501475,11705
700,10.2818771708339,13503
700,10.3820435401005,14505
700,10.3847621248462,11400
700,10.4360164806979,13206
700,10.5520631249079,11505
700,10.8569662291169,14802
700,11.1242162456222,11706
700,11.4306662122304,11301
700,11.5548634623217,11703
700,11.9428129394939,14804
700,12.1632393727808,14903
700,12.211743420297,14601
700,12.5046710173944,11707
700,12.7769733156331,11708
700,13.1645371851225,12402
700,13.374269303245,14803
700,14.335997942073,13300
700,14.8761139900508,15000
700,15.145896457487,12401
700,15.4330142853729,14700
700,15.9751416080215,15400
700,16.4908812320378,15304
700,16.6524722328507,15101
700,16.7655697177856,15303
700,17.045190856509,15200
700,17.8814360391873,15301
700,20.4534674209072,15102
1000,0.488656780036014,5900
1000,0.495000723648495,2900
1000,0.625966504114306,3100
1000,0.723562388220351,5700
1000,0.82231587813468,9302
1000,0.837304778808193,5600
1000,0.971896764314346,5500
1000,0.973089536471468,3000
1000,1.0159471797553,7801
1000,1.02014864098968,9301
1000,1.10895169642897,5800
1000,1.18217936769668,3700
1000,1.21294005501396,9400
1000,1.26070344357336,5300
